epoch,step,train/mse,val/mse
0,19,23220022.0,
1,39,2034036.75,
2,59,1088636.25,
3,79,816500.4375,
3,99,627058.0,
4,119,642818.5,
4,124,,620328.125
5,139,762431.5,
6,159,616780.875,
7,179,546528.1875,
7,199,626109.75,
8,219,678538.0,
9,239,628560.9375,
9,249,,617925.25
10,259,686035.5,
11,279,552356.625,
11,299,649083.6875,
12,319,585538.8125,
13,339,586914.1875,
14,359,677991.75,
14,374,,628626.5625
15,379,569988.125,
15,399,660758.25,
16,419,667739.25,
17,439,577994.875,
18,459,693959.25,
19,479,660896.0,
19,499,635412.125,
19,499,,622084.9375
20,519,541747.25,
21,539,852635.0,
22,559,570111.0,
23,579,669488.625,
23,599,722796.625,
24,619,659553.75,
24,624,,618347.375
25,639,563674.625,
26,659,602794.1875,
27,679,635359.75,
27,699,600736.5,
28,719,583516.0,
29,739,651558.125,
29,749,,628296.5
30,759,738343.6875,
31,779,583581.75,
31,799,511845.6875,
32,819,731037.0,
33,839,684253.3125,
34,859,557217.0,
34,874,,616069.8125
35,879,596184.25,
35,899,584752.375,
36,919,572255.0625,
37,939,722546.125,
38,959,638410.625,
39,979,729219.9375,
39,999,653348.5,
39,999,,624760.375
40,1019,659305.5,
41,1039,628597.6875,
42,1059,725388.5,
43,1079,669711.125,
43,1099,640097.375,
44,1119,566506.4375,
44,1124,,615665.8125
45,1139,587663.875,
46,1159,571420.375,
47,1179,605484.75,
47,1199,601010.5625,
48,1219,724905.0,
49,1239,658963.0625,
49,1249,,612955.75
50,1259,732487.375,
51,1279,643585.0625,
51,1299,552646.1875,
52,1319,719098.5,
53,1339,580578.625,
54,1359,578172.6875,
54,1374,,617554.6875
55,1379,724642.375,
55,1399,651211.1875,
56,1419,533994.75,
57,1439,609281.25,
58,1459,616255.0,
59,1479,675128.5,
59,1499,457206.1875,
59,1499,,613093.25
60,1519,724622.1875,
61,1539,548847.625,
62,1559,623553.4375,
63,1579,612173.875,
63,1599,733296.1875,
64,1619,666857.5,
64,1624,,616214.75
65,1639,574265.125,
66,1659,641925.5,
67,1679,666142.3125,
67,1699,640712.8125,
68,1719,557204.875,
69,1739,704328.4375,
69,1749,,619173.0625
70,1759,619148.6875,
71,1779,525181.0,
71,1799,641908.375,
72,1819,693175.875,
73,1839,711918.125,
74,1859,601037.375,
74,1874,,618682.25
75,1879,515047.8125,
75,1899,636327.125,
76,1919,568017.0,
77,1939,541945.9375,
78,1959,771496.4375,
79,1979,633073.375,
79,1999,518017.46875,
79,1999,,622778.25
80,2019,685604.875,
81,2039,762940.9375,
82,2059,572457.125,
83,2079,629352.875,
83,2099,718061.875,
84,2119,720181.625,
84,2124,,623248.375
85,2139,704796.625,
86,2159,570272.25,
87,2179,702721.875,
87,2199,607363.875,
88,2219,620146.6875,
89,2239,872403.1875,
89,2249,,612919.625
90,2259,504317.0,
91,2279,581917.25,
91,2299,607620.375,
92,2319,633570.9375,
93,2339,581403.375,
94,2359,717657.875,
94,2374,,622037.5
95,2379,590767.875,
95,2399,660625.75,
96,2419,759400.375,
97,2439,602886.9375,
98,2459,648402.375,
99,2479,683004.75,
99,2499,622631.375,
99,2499,,616656.625
100,2500,,616656.625
