epoch,step,train_data_loss,train_loss,train_pde_loss,val_data_loss,val_loss,val_pde_loss
0,9,33719236.0,33722028.0,27932.8203125,,,
0,19,34173852.0,34182488.0,86361.84375,,,
0,29,35300188.0,35306404.0,62155.23828125,,,
0,39,33950664.0,33954768.0,41020.8046875,,,
0,49,34944520.0,34949500.0,49800.58203125,,,
0,59,35181896.0,35183364.0,14698.84375,,,
0,69,34256248.0,34262460.0,62130.37109375,,,
0,79,35200112.0,35206092.0,59800.28515625,,,
0,89,32899108.0,32919274.0,201668.203125,,,
0,93,,,,33812492.0,33813548.0,10430.6796875
1,99,35346264.0,35384972.0,387091.46875,,,
1,109,34014512.0,34016252.0,17404.62109375,,,
1,119,34664396.0,34667128.0,27306.734375,,,
1,129,32610640.0,32611796.0,11569.814453125,,,
1,139,34459928.0,34466716.0,67883.5859375,,,
1,149,34428544.0,34432548.0,40046.34765625,,,
1,159,35619568.0,35621860.0,22910.49609375,,,
1,169,32278070.0,32279124.0,10547.279296875,,,
1,179,34162728.0,34164128.0,14000.228515625,,,
1,187,,,,33813920.0,33814284.0,3589.6494140625
2,189,31908934.0,31909716.0,7816.142578125,,,
2,199,33364070.0,33366266.0,21953.611328125,,,
2,209,33456812.0,33457988.0,11750.3251953125,,,
2,219,35761624.0,35762684.0,10580.1416015625,,,
2,229,33587824.0,33589412.0,15885.5185546875,,,
2,239,35667024.0,35667764.0,7386.4482421875,,,
2,249,31949720.0,31950470.0,7505.91552734375,,,
2,259,34332216.0,34332684.0,4660.94482421875,,,
2,269,32355688.0,32356056.0,3688.71923828125,,,
2,279,30851724.0,30857414.0,56907.15234375,,,
2,281,,,,33808176.0,33813492.0,53181.4296875
3,289,32487712.0,32499316.0,116049.546875,,,
3,299,32226368.0,32353868.0,1274992.5,,,
3,309,34626912.0,57739032.0,231121184.0,,,
3,319,32913092.0,33126766.0,2136741.75,,,
3,329,34130184.0,34476564.0,3463786.5,,,
3,339,32086870.0,33436700.0,13498301.0,,,
3,349,35463280.0,35541268.0,779878.6875,,,
3,359,35390596.0,35482948.0,923521.625,,,
3,369,34574400.0,34632208.0,578091.1875,,,
3,375,,,,33833168.0,33836760.0,35849.578125
4,379,30884470.0,30915206.0,307366.96875,,,
4,389,35360332.0,35539368.0,1790378.875,,,
4,399,30759814.0,30821866.0,620528.5,,,
4,409,34161168.0,34177896.0,167272.5625,,,
4,419,34742992.0,34749200.0,62068.73828125,,,
4,429,33698092.0,33720544.0,224516.265625,,,
4,439,36078456.0,36083568.0,51105.98046875,,,
4,449,32551632.0,32558148.0,65156.27734375,,,
4,459,35998396.0,36004128.0,57323.890625,,,
4,469,33355020.0,33361706.0,66850.6328125,,,
4,469,,,,33832360.0,33833700.0,13401.34375
5,479,33856376.0,33865892.0,95155.9765625,,,
5,489,31122294.0,31126144.0,38491.9921875,,,
5,499,33672704.0,33673916.0,12122.3828125,,,
5,509,33389230.0,33409244.0,200141.390625,,,
5,519,33103268.0,33106992.0,37246.91796875,,,
5,529,31637192.0,31640912.0,37204.890625,,,
5,539,32335108.0,32338870.0,37629.28515625,,,
5,549,32146896.0,32154630.0,77330.6796875,,,
5,559,35449648.0,35454284.0,46374.91796875,,,
